Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
38.48	-0.000244617
38.5	-0.000244204
38.52	-0.000243789
38.54	-0.000243377
38.56	-0.000242962
38.58	-0.000242547
38.6	-0.000242132
38.62	-0.000241717
38.64	-0.000241302
38.66	-0.000240883
38.68	-0.00024047
38.7	-0.000240054
38.72	-0.000239639
38.74	-0.000239208
38.76	-0.000238806
38.78	-0.000238391
38.8	-0.000237974
38.82	-0.000237556
38.84	-0.00023714
38.86	-0.000236725
38.88	-0.00023631
38.9	-0.000235895
38.92	-0.000235481
38.94	-0.000235066
38.96	-0.000234653
38.98	-0.000234239
39	-0.000233826
39.02	-0.000233414
39.04	-0.000233001
39.06	-0.000232588
39.08	-0.000232177
39.1	-0.000231766
39.12	-0.000231357
39.14	-0.000230947
39.16	-0.000230539
39.18	-0.000230131
39.2	-0.000229725
39.22	-0.000229317
39.24	-0.00022891
39.26	-0.000228505
39.28	-0.000228099
39.3	-0.000227694
39.32	-0.00022729
39.34	-0.000226887
39.36	-0.000226484
39.38	-0.000226082
39.4	-0.00022568
39.42	-0.00022528
39.44	-0.00022488
39.46	-0.00022448
39.48	-0.000224082
39.5	-0.000223684
39.52	-0.000223287
39.54	-0.000222891
39.56	-0.000222494
39.58	-0.000222099
39.6	-0.000221705
39.62	-0.000221312
39.64	-0.000220919
39.66	-0.000220527
39.68	-0.000220135
39.7	-0.000219745
39.72	-0.000219354
39.74	-0.000218965
39.76	-0.000218577
39.78	-0.000218189
39.8	-0.000217801
39.82	-0.000217416
39.84	-0.00021703
39.86	-0.000216645
39.88	-0.000216261
39.9	-0.000215879
39.92	-0.000215496
39.94	-0.000215114
39.96	-0.000214733
39.98	-0.000214353
40	-0.000213973
40.02	-0.000213594
40.04	-0.000213216
40.06	-0.000212838
40.08	-0.000212462
40.1	-0.000212085
40.12	-0.000211709
40.14	-0.000211335
40.16	-0.00021096
40.18	-0.000210587
40.2	-0.000210214
40.22	-0.000209842
40.24	-0.000209471
40.26	-0.000209099
40.28	-0.00020873
40.3	-0.00020836
40.32	-0.000207987
40.34	-0.000207623
40.36	-0.000207255
40.38	-0.000206888
40.4	-0.000206521
40.42	-0.000206155
40.44	-0.00020579
40.46	-0.000205425
40.48	-0.000205063
40.5	-0.000204699
40.52	-0.000204335
40.54	-0.000203973
40.56	-0.000203612
40.58	-0.000203252
40.6	-0.000202892
40.62	-0.000202532
40.64	-0.000202173
40.66	-0.000201815
