Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
864.545	-0.0783071
865.455	-0.0781808
866.364	-0.0780547
867.273	-0.0779289
868.182	-0.0778033
869.091	-0.077678
870	-0.0775529
870.909	-0.0774281
871.818	-0.0773036
872.727	-0.0771793
873.636	-0.0770553
874.545	-0.0769315
875.455	-0.076808
876.364	-0.0766848
877.273	-0.0765618
878.182	-0.076439
879.091	-0.0763165
880	-0.0761943
880.909	-0.0760723
881.818	-0.0759505
882.727	-0.0758291
883.636	-0.0757078
884.545	-0.0755868
885.455	-0.0754661
886.364	-0.0753456
887.273	-0.0752254
888.182	-0.0751054
889.091	-0.0749856
890	-0.0748661
890.909	-0.0747468
891.818	-0.0746278
892.727	-0.0745091
893.636	-0.0743905
894.545	-0.0742722
895.455	-0.0741542
896.364	-0.0740364
897.273	-0.0739188
898.182	-0.0738015
899.091	-0.0736845
900	-0.0735676
900.909	-0.073451
901.818	-0.0733347
902.727	-0.0732185
903.636	-0.0731027
904.545	-0.072987
905.455	-0.0728716
906.364	-0.0727564
907.273	-0.0726415
908.182	-0.0725268
909.091	-0.0724123
910	-0.0722981
910.909	-0.0721841
911.818	-0.0720703
912.727	-0.0719568
913.636	-0.0718435
914.545	-0.0717304
915.455	-0.0716176
916.364	-0.071505
917.273	-0.0713926
918.182	-0.0712805
919.091	-0.0711685
920	-0.0710568
920.909	-0.0709454
921.818	-0.0708341
922.727	-0.0707231
923.636	-0.0706123
924.545	-0.0705018
925.455	-0.0703827
926.364	-0.0702726
927.273	-0.0701627
928.182	-0.0700531
929.091	-0.0699436
930	-0.0698344
930.909	-0.0697254
931.818	-0.0696166
932.727	-0.0695081
933.636	-0.0693997
934.545	-0.0692916
935.455	-0.0691837
936.364	-0.069076
937.273	-0.0689686
938.182	-0.0688613
939.091	-0.0687543
940	-0.0686475
940.909	-0.0685409
941.818	-0.0684345
942.727	-0.0683284
943.636	-0.0682224
944.545	-0.0681167
945.455	-0.0680112
946.364	-0.0679058
947.273	-0.0678007
948.182	-0.0676959
949.091	-0.0675912
950	-0.0674867
950.909	-0.0673825
951.818	-0.0672784
952.727	-0.0671746
953.636	-0.067071
954.545	-0.0669675
955.455	-0.0668643
956.364	-0.0667613
957.273	-0.0666585
958.182	-0.0665559
959.091	-0.0664536
960	-0.0663514
960.909	-0.0662494
961.818	-0.0661476
962.727	-0.0660461
963.636	-0.0659447
964.545	-0.0658435
965.455	-0.0657426
966.364	-0.0656418
967.273	-0.0655413
968.182	-0.0654409
969.091	-0.0653408
970	-0.0652408
970.909	-0.065141
971.818	-0.0650415
972.727	-0.0649421
973.636	-0.064843
974.545	-0.064744
975.455	-0.0646452
976.364	-0.0645467
977.273	-0.0644483
978.182	-0.0643501
979.091	-0.0642521
980	-0.0641543
980.909	-0.0640567
981.818	-0.0639593
982.727	-0.0638621
983.636	-0.0637651
984.545	-0.0636683
985.455	-0.0635717
986.364	-0.0634752
987.273	-0.063379
988.182	-0.0632829
989.091	-0.0631871
990	-0.0630914
990.909	-0.0629959
991.818	-0.0629006
992.727	-0.0628055
993.636	-0.0627106
994.545	-0.0626158
995.455	-0.0625213
996.364	-0.0624269
997.273	-0.0623327
998.182	-0.0622387
999.091	-0.0621449
1000	-0.0620513
1000.91	-0.0619578
1001.82	-0.0618646
1002.73	-0.0617715
1003.64	-0.0616819
1004.55	-0.0615891
1005.45	-0.0614966
1006.36	-0.0614043
1007.27	-0.0613121
1008.18	-0.0612201
1009.09	-0.0611283
1010	-0.0610367
1010.91	-0.0609452
1011.82	-0.0608539
1012.73	-0.0607628
1013.64	-0.0606719
1014.55	-0.0605812
1015.45	-0.0604906
1016.36	-0.0604002
1017.27	-0.06031
1018.18	-0.06022
1019.09	-0.0601301
1020	-0.0600405
1020.91	-0.0599509
1021.82	-0.0598616
1022.73	-0.0597724
1023.64	-0.0596835
1024.55	-0.0595946
1025.45	-0.059506
1026.36	-0.0594175
1027.27	-0.0593292
1028.18	-0.0592411
1029.09	-0.0591531
1030	-0.0590654
1030.91	-0.0589777
1031.82	-0.0588903
1032.73	-0.058803
1033.64	-0.0587159
1034.55	-0.058629
1035.45	-0.0585422
1036.36	-0.0584556
1037.27	-0.0583691
1038.18	-0.0582829
1039.09	-0.0581968
1040	-0.0581108
1040.91	-0.058025
1041.82	-0.0579394
1042.73	-0.057854
1043.64	-0.0577687
1044.55	-0.0576836
1045.45	-0.0575986
1046.36	-0.0575138
1047.27	-0.0574292
1048.18	-0.0573447
1049.09	-0.0572604
1050	-0.0571763
1050.91	-0.0570923
1051.82	-0.0570085
1052.73	-0.0569248
1053.64	-0.0568413
1054.55	-0.056758
1055.45	-0.0566748
1056.36	-0.0565918
1057.27	-0.0565089
1058.18	-0.0564262
1059.09	-0.0563436
1060	-0.0562613
1060.91	-0.056179
1061.82	-0.0560969
1062.73	-0.056015
1063.64	-0.0559332
1064.55	-0.0558516
1065.45	-0.0557702
1066.36	-0.0556889
1067.27	-0.0556077
1068.18	-0.0555267
1069.09	-0.0554459
1070	-0.0553652
1070.91	-0.0552847
1071.82	-0.0552043
1072.73	-0.055124
1073.64	-0.055044
1074.55	-0.054964
1075.45	-0.0548842
1076.36	-0.0548046
1077.27	-0.0547251
1078.18	-0.0546458
1079.09	-0.0545666
1080	-0.0544876
1080.91	-0.0544087
1081.82	-0.05433
1082.73	-0.0542514
1083.64	-0.054173
1084.55	-0.0540947
1085.45	-0.0540165
1086.36	-0.0539385
1087.27	-0.0538607
1088.18	-0.053783
1089.09	-0.0537054
1090	-0.053628
1090.91	-0.0535507
1091.82	-0.0534736
1092.73	-0.0533966
1093.64	-0.0533198
1094.55	-0.0532431
1095.45	-0.0531665
1096.36	-0.0530901
1097.27	-0.0530138
1098.18	-0.0529377
1099.09	-0.0528617
1100	-0.0527859
1100.91	-0.0527102
1101.82	-0.0526346
1102.73	-0.0525592
1103.64	-0.0524839
1104.55	-0.0524088
1105.45	-0.0523338
1106.36	-0.0522589
1107.27	-0.0521842
1108.18	-0.0521096
1109.09	-0.0520352
1110	-0.0519609
1110.91	-0.0518867
1111.82	-0.0518127
1112.73	-0.0517388
1113.64	-0.051665
1114.55	-0.0515914
1115.45	-0.0515179
1116.36	-0.0514445
1117.27	-0.0513713
1118.18	-0.0512982
1119.09	-0.0512253
1120	-0.0511525
1120.91	-0.0510798
1121.82	-0.0510072
1122.73	-0.0509348
1123.64	-0.0508625
1124.55	-0.0507904
1125.45	-0.0507184
1126.36	-0.0506465
1127.27	-0.0505747
1128.18	-0.0505031
1129.09	-0.0504316
1130	-0.0503602
1130.91	-0.050289
1131.82	-0.0502179
1132.73	-0.0501469
1133.64	-0.0500761
1134.55	-0.0500054
1135.45	-0.0499348
1136.36	-0.0498643
1137.27	-0.049794
1138.18	-0.0497238
1139.09	-0.0496537
1140	-0.0495838
1140.91	-0.0495139
1141.82	-0.0494442
1142.73	-0.0493747
1143.64	-0.0493052
1144.55	-0.0492359
1145.45	-0.0491667
1146.36	-0.0490977
1147.27	-0.0490287
1148.18	-0.0489599
1149.09	-0.0488912
1150	-0.0488226
1150.91	-0.0487542
1151.82	-0.0486859
1152.73	-0.0486177
1153.64	-0.0485496
1154.55	-0.0484817
1155.45	-0.0484138
1156.36	-0.0483461
1157.27	-0.0482785
1158.18	-0.0482111
1159.09	-0.0481437
1160	-0.0480765
1160.91	-0.0480094
1161.82	-0.0479424
1162.73	-0.0478755
1163.64	-0.0478088
1164.55	-0.0477422
1165.45	-0.0476757
1166.36	-0.0476093
1167.27	-0.047543
1168.18	-0.0474769
1169.09	-0.0474108
1170	-0.0473449
1170.91	-0.0472791
1171.82	-0.0472134
